,0,1,2,3,4,5,6,7,8
0,4282020,618,309,154,76,38,18,9,4
1,4292020,617,308,154,76,38,18,9,4
2,4302020,616,308,153,76,38,18,9,4
3,5012020,615,307,153,76,38,18,9,4
4,5022020,613,306,153,76,38,18,9,4
5,5032020,612,305,152,76,37,18,9,4
6,5042020,609,304,152,75,37,18,9,4
7,5052020,606,303,151,75,37,18,9,4
8,5062020,604,302,150,75,37,18,9,4
9,5072020,602,300,150,74,37,18,9,4
10,5082020,601,300,150,74,37,18,9,4
11,5092020,600,300,149,74,37,18,9,4
12,5102020,599,299,149,74,37,18,9,4
13,5112020,597,298,149,74,37,18,8,4
14,5122020,595,297,148,74,36,18,8,4
15,5132020,593,296,148,73,36,18,8,4
16,5142020,591,295,147,73,36,18,8,4
17,5152020,590,295,147,73,36,18,8,4
18,5162020,588,294,146,73,36,18,8,4
19,5172020,586,293,146,73,36,18,8,4
20,5182020,584,292,145,72,36,17,8,4
21,5192020,582,290,145,72,36,17,8,4
22,5202020,579,289,144,72,35,17,8,4
23,5212020,577,288,144,71,35,17,8,4
24,5222020,575,287,143,71,35,17,8,4
25,5232020,573,286,143,71,35,17,8,4
26,5242020,570,285,142,70,35,17,8,4
27,5252020,568,283,141,70,35,17,8,4
28,5262020,565,282,141,70,34,17,8,4
29,5272020,562,281,140,69,34,17,8,4
30,5282020,559,279,139,69,34,17,8,4
31,5292020,556,278,138,69,34,17,8,3
32,5302020,553,276,138,68,34,16,8,3
33,5312020,550,274,137,68,34,16,8,3
34,6012020,546,273,136,68,33,16,8,3
35,6022020,542,271,135,67,33,16,8,3
36,6032020,538,269,134,67,33,16,8,3
37,6042020,535,267,133,66,33,16,8,3
38,6052020,532,265,132,66,32,16,7,3
39,6062020,528,264,131,65,32,16,7,3
40,6072020,524,262,130,65,32,16,7,3
41,6082020,520,260,129,64,32,15,7,3
42,6092020,516,258,128,64,31,15,7,3
43,6102020,512,256,127,63,31,15,7,3
44,6112020,509,254,127,63,31,15,7,3
45,6122020,504,252,125,62,31,15,7,3
46,6132020,501,250,125,62,30,15,7,3
47,6142020,497,248,124,61,30,15,7,3
48,6152020,493,246,123,61,30,15,7,3
49,6162020,489,244,122,60,30,14,7,3
50,6172020,485,242,121,60,30,14,7,3
51,6182020,482,240,120,59,29,14,7,3
52,6192020,478,238,119,59,29,14,7,3
53,6202020,474,237,118,59,29,14,7,3
54,6212020,471,235,117,58,29,14,7,3
55,6222020,468,233,116,58,28,14,6,3
56,6232020,463,231,115,57,28,14,6,3
57,6242020,460,230,114,57,28,14,6,3
58,6252020,457,228,114,56,28,13,6,3
59,6262020,453,226,113,56,28,13,6,3
60,6272020,450,225,112,56,27,13,6,3
61,6282020,447,223,111,55,27,13,6,3
62,6292020,444,221,110,55,27,13,6,3
63,6302020,440,220,109,54,27,13,6,3
64,7012020,437,218,109,54,27,13,6,3
65,7022020,434,216,108,53,26,13,6,3
66,7032020,431,215,107,53,26,13,6,3
67,7042020,429,214,107,53,26,13,6,2
68,7052020,427,213,106,53,26,13,6,2
69,7062020,427,213,106,53,26,13,6,2
70,7072020,426,212,106,52,26,12,6,2
71,7082020,426,213,106,52,26,12,6,2
72,7092020,428,214,106,53,26,13,6,2
73,7102020,434,217,108,54,26,13,6,3
74,7112020,440,220,109,54,27,13,6,3
75,7122020,446,223,111,55,27,13,6,3
76,7132020,451,225,112,56,27,13,6,3
77,7142020,456,228,113,56,28,13,6,3
78,7152020,458,229,114,57,28,13,6,3
79,7162020,459,229,114,57,28,14,6,3
80,7172020,461,230,115,57,28,14,6,3
81,7182020,467,233,116,58,28,14,6,3
82,7192020,471,235,117,58,29,14,7,3
83,7202020,474,237,118,59,29,14,7,3
84,7212020,481,240,120,59,29,14,7,3
85,7222020,490,244,122,60,30,14,7,3
86,7232020,516,257,128,64,31,15,7,3
87,7242020,537,268,134,66,33,16,8,3
88,7252020,562,281,140,70,34,17,8,4
89,7262020,585,292,146,72,36,17,8,4
90,7272020,608,304,151,75,37,18,9,4
91,7282020,625,312,156,77,38,19,9,4
92,7292020,645,322,161,80,40,19,9,4
93,7302020,673,336,168,83,41,20,10,4
94,7312020,695,347,173,86,43,21,10,5
95,8012020,719,359,179,89,44,22,10,5
96,8022020,741,370,185,92,45,22,11,5
97,8032020,759,379,189,94,47,23,11,5
98,8042020,771,385,192,96,47,23,11,5
99,8052020,792,396,197,98,49,24,12,5
100,8062020,816,407,203,101,50,25,12,6
101,8072020,843,421,210,105,52,26,12,6
102,8082020,866,433,216,108,53,26,13,6
103,8092020,892,445,222,111,55,27,13,6
104,8102020,907,453,226,113,56,28,13,6
105,8112020,921,460,229,114,57,28,14,6
106,8122020,929,464,232,115,57,28,14,6
107,8132020,953,476,238,118,59,29,14,7
108,8142020,986,493,246,123,61,30,15,7
109,8152020,1006,503,251,125,62,31,15,7
110,8162020,1022,510,255,127,63,31,15,7
111,8172020,1035,517,258,129,64,32,15,7
112,8182020,1045,522,261,130,65,32,15,7
113,8192020,1049,524,262,130,65,32,16,7
114,8202020,1069,534,267,133,66,33,16,8
